Entity,Code,Year,GDP per capita
Afghanistan,AFG,2015,1928
Albania,ALB,2015,10947
Algeria,DZA,2015,13024
Angola,AGO,2015,8631
Argentina,ARG,2015,19316
Armenia,ARM,2015,9552
Australia,AUS,2015,44336
Austria,AUT,2015,44845
Azerbaijan,AZE,2015,16045
Bahrain,BHR,2015,39197
Bangladesh,BGD,2015,3068
Barbados,BRB,2015,10030
Belarus,BLR,2015,19306
Belgium,BEL,2015,39531
Benin,BEN,2015,2141
Bolivia,BOL,2015,5969
Bosnia and Herzegovina,BIH,2015,10305
Botswana,BWA,2015,14626
Brazil,BRA,2015,15377
Bulgaria,BGR,2015,17254
Burkina Faso,BFA,2015,1527
Burundi,BDI,2015,723
Cambodia,KHM,2015,3139
Cameroon,CMR,2015,2754
Canada,CAN,2015,42844
Cape Verde,CPV,2015,6358
Central African Republic,CAF,2015,605
Chad,TCD,2015,2387
Chile,CHL,2015,21340
China,CHN,2015,12002
Colombia,COL,2015,12858
Comoros,COM,2015,1706
Congo,COG,2015,4526
Costa Rica,CRI,2015,13568
Cote d'Ivoire,CIV,2015,3473
Croatia,HRV,2015,20905
Cuba,CUB,2015,7889
Cyprus,CYP,2015,25903
Czech Republic,CZE,2015,30410
Czechoslovakia,OWID_CZS,2015,29361
Democratic Republic of Congo,COD,2015,836
Denmark,DNK,2015,44939
Djibouti,DJI,2015,3258
Dominica,DMA,2015,9537
Dominican Republic,DOM,2015,13382
Ecuador,ECU,2015,10914
Egypt,EGY,2015,11236
El Salvador,SLV,2015,8163
Equatorial Guinea,GNQ,2015,35743
Estonia,EST,2015,25790
Ethiopia,ETH,2015,1576
Finland,FIN,2015,37920
France,FRA,2015,38448
Gabon,GAB,2015,14315
Gambia,GMB,2015,1948
Georgia,GEO,2015,10198
Germany,DEU,2015,46426
Ghana,GHA,2015,3687
Greece,GRC,2015,24545
Guatemala,GTM,2015,7055
Guinea,GIN,2015,1606
Guinea-Bissau,GNB,2015,1313
Haiti,HTI,2015,1649
Honduras,HND,2015,4352
Hong Kong,HKG,2015,46504
Hungary,HUN,2015,23539
Iceland,ISL,2015,40572
India,IND,2015,5639
Indonesia,IDN,2015,10099
Iran,IRN,2015,15039
Iraq,IRQ,2015,13087
Ireland,IRL,2015,53372
Israel,ISR,2015,31729
Italy,ITA,2015,34673
Jamaica,JAM,2015,7115
Japan,JPN,2015,36030
Jordan,JOR,2015,11738
Kazakhstan,KAZ,2015,23408
Kenya,KEN,2015,3090
Kuwait,KWT,2015,68127
Kyrgyzstan,KGZ,2015,5910
Laos,LAO,2015,6001
Latvia,LVA,2015,22724
Lebanon,LBN,2015,12665
Lesotho,LSO,2015,2954
Liberia,LBR,2015,798
Libya,LBY,2015,8514
Lithuania,LTU,2015,25279
Luxembourg,LUX,2015,67804
Macedonia,MKD,2015,13586
Madagascar,MDG,2015,1288
Malawi,MWI,2015,960
Malaysia,MYS,2015,22075
Mali,MLI,2015,1563
Malta,MLT,2015,26577
Mauritania,MRT,2015,3323
Mauritius,MUS,2015,18259
Mexico,MEX,2015,15766
Moldova,MDA,2015,5569
Mongolia,MNG,2015,11139
Montenegro,MNE,2015,17738
Morocco,MAR,2015,7577
Mozambique,MOZ,2015,1277
Myanmar,MMR,2015,5834
Namibia,NAM,2015,11850
Nepal,NPL,2015,2607
Netherlands,NLD,2015,48463
New Zealand,NZL,2015,33445
Nicaragua,NIC,2015,4699
Niger,NER,2015,895
Nigeria,NGA,2015,5540
North Korea,PRK,2015,1720
Norway,NOR,2015,76305
Oman,OMN,2015,37096
Pakistan,PAK,2015,5056
Palestine,PSE,2015,4422
Panama,PAN,2015,20809
Paraguay,PRY,2015,8364
Peru,PER,2015,11215
Philippines,PHL,2015,6870
Poland,POL,2015,25310
Portugal,PRT,2015,27255
Puerto Rico,PRI,2015,35384
Qatar,QAT,2015,139542
Romania,ROU,2015,20549
Russia,RUS,2015,23118
Rwanda,RWA,2015,1676
Saint Lucia,LCA,2015,10687
Sao Tome and Principe,STP,2015,3560
Saudi Arabia,SAU,2015,47737
Senegal,SEN,2015,2446
Serbia,SRB,2015,13556
Seychelles,SYC,2015,23984
Sierra Leone,SLE,2015,1033
Singapore,SGP,2015,67110
Slovakia,SVK,2015,25896
Slovenia,SVN,2015,28077
South Africa,ZAF,2015,12054
South Korea,KOR,2015,35316
Spain,ESP,2015,33376
Sri Lanka,LKA,2015,10734
Sudan,SDN,2015,3723
Swaziland,SWZ,2015,7726
Sweden,SWE,2015,43464
Switzerland,CHE,2015,61476
Syria,SYR,2015,3509
Taiwan,TWN,2015,41805
Tajikistan,TJK,2015,3365
Tanzania,TZA,2015,2429
Thailand,THA,2015,13938
Togo,TGO,2015,1482
Trinidad and Tobago,TTO,2015,30892
Tunisia,TUN,2015,10608
Turkey,TUR,2015,20808
Turkmenistan,TKM,2015,21262
Uganda,UGA,2015,1883
Ukraine,UKR,2015,9429
United Arab Emirates,ARE,2015,69237
United Kingdom,GBR,2015,38749
United States,USA,2015,52591
Uruguay,URY,2015,19668
Uzbekistan,UZB,2015,9107
Venezuela,VEN,2015,16257
Vietnam,VNM,2015,5733
World,OWID_WRL,2015,14500
Yemen,YEM,2015,2496
Zambia,ZMB,2015,3537
Zimbabwe,ZWE,2015,1759
